Year,Month,Day,Position,Team
2024,Novembro,08,1,Nina Correia / Rossana Barros
2024,Novembro,08,2,Margarida Mateus / Teresa Martins
2024,Novembro,08,3,Adelina Dobroslavska / Renata Cardoso
2024,Novembro,08,4,Ana Matos / Viktoria Podriezova
2024,Novembro,08,5,Cristina Portugal / Sílvia Pica
2024,Novembro,08,6,Mariana Henriques / Maria João Faria
2024,Novembro,08,7,Guadalupe Boullosa / Sara Pastor
2024,Novembro,08,8,Inês Gouveia / Patrícia Gouveia
2024,Novembro,15,1,Ana Teresa Ruas / Sofia Ferreira
2024,Novembro,15,2,Bárbara Vaz / Diana Vicente
2024,Novembro,15,3,Mariana Henriques / Maria João Faria
2024,Novembro,15,4,Isabel Vilaça / Rosário Silva
2024,Novembro,15,5,Sara Vilaça Santos / Teresa Vilaça Santos
2024,Novembro,15,6,Viktoria Podriezova / Mariana Marques
2024,Novembro,15,7,Teresa Catroga / Margarida Perestrelo
2024,Novembro,15,8,Naira Abreu / Naira Jesus
2024,Novembro,29,1,Margarida Mateus / Teresa Martins
2024,Novembro,29,2,Adelina Dobroslavska / Renata Cardoso
2024,Novembro,29,3,Maria João Faria / Mariana Henriques
2024,Novembro,29,4,Maria Velosa / Rossana Barros
2024,Novembro,29,5,Naira Abreu / Milene Fortunato
2024,Novembro,29,6,Luíza Serra / Mariana Marques
2024,Dezembro,06,1,Viktoria Podriezova / Rossana Barros
2024,Dezembro,06,2,Adelina Dobroslavska / Renata Cardoso
2024,Dezembro,06,3,Ana Portugal / Cristina Portugal
2024,Dezembro,06,4,Sílvia Pica / Carolina Pica
2024,Dezembro,06,5,Mariana Henriques / Maria João Faria
2024,Dezembro,06,6,Alexandra Neto / Luísa Lopes
2024,Dezembro,06,7,Ana Matos / Marta Santos
2024,Dezembro,06,8,Constança Silva / Naira Jesus
2024,Dezembro,27,1,Renata Cardoso / Adelina Dobroslavska
2024,Dezembro,27,2,Maria João / Joana Borges
2024,Dezembro,27,3,Ana Luísa Basílio / Maria Velosa
2024,Dezembro,27,4,Maria João Faria / Mariana Henriques
2024,Dezembro,27,5,Raquel Larangeira / Cristina Dias
2024,Dezembro,27,6,Maria Fernández / Fátima Silva
2025,Janeiro,03,1,Rita Ferreira / Carolina Pinto
2025,Janeiro,03,2,Viktoria Podriezova / Valéria 
2025,Janeiro,03,3,Luísa Lopes / Joana Gueifão
2025,Janeiro,03,4,Renata Cardoso / Adelina Dobroslavska
2025,Janeiro,03,5,Naira Jesus / Cristina Dias
2025,Janeiro,03,6,Ana Luísa Basílio / Marta Santos
2025,Janeiro,03,7,Catarina Faúlha / Filipa Dias
2025,Janeiro,03,8,Mariana Henriques / Catarina Barão
2025,Janeiro,03,9,Sílvia Pica / Cristina Portugal
2025,Janeiro,03,10,Luíza Serra / Zeza Gomes
2025,Janeiro,03,11,Mariana Marques / Sara Carvalho
2025,Janeiro,03,12,Bárbara Dias / Joana Borges
2025,Janeiro,10,1,Ana Portugal / Mariana Seabra
2025,Janeiro,10,2,Bárbara Vaz / Diana Vicente
2025,Janeiro,10,3,Mariana Henriques / Maria João Faria
2025,Janeiro,10,4,Adelina Dobroslavska / Cristina Dias
2025,Janeiro,10,5,Rossana Barros / Natália Soares
2025,Janeiro,10,6,Raquel Larangeira / Inês Gouveia
2025,Janeiro,10,7,Cristina Portugal / Ana Gonçalves
2025,Janeiro,10,8,Alexandra Neto / Luísa Lopes
2025,Janeiro,17,1,Adelina Dobroslavska / Maria João Faria
2025,Janeiro,17,2,Viktoria Podriezova / Valéria
2025,Janeiro,17,3,Carlota / Francisca
2025,Janeiro,17,4,Roxana Feji / Raquel Larangeira
2025,Janeiro,17,5,Margarida Mateus / Rita Anjos
2025,Janeiro,17,6,Mariana Henriques / Catarina Barão
2025,Janeiro,17,7,Ana Matos / Alexandra Neto
2025,Janeiro,17,8,Inês Gouveia / Patrícia Gouveia
2025,Janeiro,24,1,Ana Gonçalves / Cristina Portugal
2025,Janeiro,24,2,Maria Velosa / Mariana Henriques
2025,Janeiro,24,3,Sílvia Pica / Carolina Pica
2025,Janeiro,24,4,Marta Santos / Rita Anjos
2025,Janeiro,24,5,Ana Roldão / Rossana Barros
2025,Janeiro,24,6,Alexandra Neto / Luísa Lopes
2025,Janeiro,24,7,Joana Borges / Naira Jesus
2025,Janeiro,24,8,Raquel Durão / Milene Fortunato
2025,Janeiro,31,1,Maria João Faria / Maria Velosa
2025,Janeiro,31,2,Teresa Martins / Margarida Mateus
2025,Janeiro,31,3,Carlota / Francisca
2025,Janeiro,31,4,Rita Anjos / Marta Santos
2025,Janeiro,31,5,Cristina Portugal / Ana Gonçalves
2025,Janeiro,31,6,Ana Portugal / Inês Portugal
2025,Janeiro,31,7,Mariana Henriques / Renata Cardoso
2025,Janeiro,31,8,Vera Caldeira / Mafalda 
2025,Janeiro,31,9,Rossana Barros / Alexandra Neto
2025,Janeiro,31,10,Sara Carvalho / Mariana Marques
2025,Janeiro,31,11,Carolina Fernandes / Cristina Dias
2025,Janeiro,31,12,Roxana Feji / Raquel Larangeira
2025,Fevereiro,07,1,Diana Vicente / Ana
2025,Fevereiro,07,2,Marta / Mafalda Gato
2025,Fevereiro,07,3,Vera Caldeira / Ângela Inácio
2025,Fevereiro,07,4,Cristina Portugal / Luísa Lopes
2025,Fevereiro,07,5,Alexandra Neto / Sílvia Pica
2025,Fevereiro,07,6,Ana Luísa Basílio / Marta Santos
2025,Fevereiro,07,7,Mariana Henriques / Rita Anjos
2025,Fevereiro,07,8,Sara Ferreira / Maria Martins
2025,Fevereiro,21,1,Vanessa Costa / Ana Gonçalves
2025,Fevereiro,21,2,Joana Borges / Bárbara Dias
2025,Fevereiro,21,3,Inês Gouveia / Ana Matos
2025,Fevereiro,21,4,Marta Santos / Naira Jesus
2025,Fevereiro,21,5,Rita Anjos / Alexandra Neto
2025,Fevereiro,21,6,Mariana Marques / Rita Vizinho
2025,Fevereiro,21,7,Sara Ferreira / Rossana Barros
2025,Fevereiro,21,8,Mariana Henriques / Maria Martins
2025,Fevereiro,28,1,Ana Portugal / Joana Gueifão
2025,Fevereiro,28,2,Rita Anjos / Marta Santos
2025,Fevereiro,28,3,Cristina Portugal / Luísa Lopes
2025,Fevereiro,28,4,Raquel Durão / Milene Fortunato
2025,Fevereiro,28,5,Patrícia Gouveia / Rossana Barros
2025,Fevereiro,28,6,Joana Borges / Cristina Dias
2025,Março,07,1,Diana Vicente / Bárbara Vaz
2025,Março,07,2,Sara Carvalho / Mariana Marques
2025,Março,07,3,Cristina Portugal / Alexandra Neto
2025,Março,07,4,Ana Gonçalves / Vanessa Costa
2025,Março,07,5,Inês Gouveia / Ana Matos
2025,Março,07,6,Raquel Larangeira / Sara Ferreira
2025,Março,07,7,Mariana Henriques / Maria Martins
2025,Março,07,8,Rita Fernandes / Filipa Dias
2025,Março,14,1,Ana Portugal / Alexandra Neto
2025,Março,14,2,Raquel Larangeira / Roxana Feji
2025,Março,14,3,Raquel Durão / Milene Fortunato
2025,Março,14,4,Ana Luísa Basílio / Rita Anjos
2025,Março,14,5,Cristina Portugal / Luísa Lopes
2025,Março,14,6,Joana Iglesias / Djalila Vasconcelos
2025,Março,14,7,Marta Santos / Carmo Girão
2025,Março,14,8,Mariana Henriques / Filipa Dias
2025,Março,28,1,Alexandra Neto / Luísa Lopes
2025,Março,28,2,Madalena Luís / Rita Barreira
2025,Março,28,3,Mariana Marques / Rita Vizinho
2025,Março,28,4,Raquel Larangeira / Roxana Feji
2025,Março,28,5,Ana Gonçalves / Vanessa Costa
2025,Março,28,6,Ana Costa / Bárbara Palmeirim
2025,Março,28,7,Rossana Barros / Bárbara Dias
2025,Março,28,8,Mariana Henriques / Ana Luísa Basílio
2025,Abril,04,1,Diana Vicente / Bárbara Vaz
2025,Abril,04,2,Maria Martins / Raquel Larangeira
2025,Abril,04,3,Sara Ferreira / Rita Vizinho
2025,Abril,04,4,Vanessa Costa / Ana Gonçalves
2025,Abril,04,5,Milene Fortunato / Clara Lima
2025,Abril,04,6,Filipa Dias / Sílvia Pica
2025,Abril,04,7,Cristina Portugal / Luísa Lopes
2025,Abril,04,8,Mariana Henriques / Carolina Pica
2025,Abril,11,1,Alexandra Neto / Ana Portugal
2025,Abril,11,2,Maria Martins / Margarida Mateus
2025,Abril,11,3,Luísa Lopes / Marta Santos
2025,Abril,11,4,Raquel Larangeira / Sofia Horgan
2025,Abril,11,5,Sílvia Pica / Carolina Pica
2025,Abril,11,6,Mariana Marques / Sara Carvalho
2025,Abril,11,7,Mariana Henriques / Filipa Dias
2025,Abril,11,8,Maria Araújo / Carolina Caetano
2025,Abril,18,1,Raquel Larangeira / Maria Martins
2025,Abril,18,2,Ana Luísa Basílio / Rita Anjos
2025,Abril,18,3,Mariana Henriques / Filipa Dias
2025,Abril,18,4,Maria Araújo / Carolina Caetano
2025,Abril,18,5,Patrícia Gouveia / Inês Gouveia
2025,Abril,18,6,Marta Batista / Cristina Dias
2025,Abril,18,7,Maria João Faria / Giovanna Araújo
2025,Abril,18,8,Joana Borges / Teresa Catroga
2025,Abril,25,1,Luísa Lopes / Joana Gueifão
2025,Abril,25,2,Sara Carvalho / Mariana Pitôrra
2025,Abril,25,3,Mariana Marques / Rita Vizinho
2025,Abril,25,4,Rita Barreira / Madalena Luís
2025,Abril,25,5,Ana Portugal / Cristina Portugal
2025,Abril,25,6,Sophie Lorber / Shirin Sadeghi
2025,Abril,25,7,Sofia Horgan / Raquel Larangeira
2025,Abril,25,8,Mariana Henriques / Catarina Dias
2025,Maio,02,1,Luísa Lopes / Joana Gueifão
2025,Maio,02,2,Adelina Dobroslavska / Patrícia Carrera
2025,Maio,02,3,Shirin Sadeghi / Sophie Lorber
2025,Maio,02,4,Ana Luísa Basílio / Raquel Larangeira
2025,Maio,02,5,Alexandra Neto / Marta Santos
2025,Maio,02,6,Sílvia Pica / Catarina Azevedo
2025,Maio,02,7,Mariana Henriques / Filipa Dias
2025,Maio,02,8,Inês Gouveia / Patrícia Gouveia
2025,Maio,16,1,Margarida Mateus / Ana Teresa Ruas
2025,Maio,16,2,Raquel Larangeira / Ana Luísa Basílio
2025,Maio,16,3,Shirin Sadeghi / Sophie Lorber
2025,Maio,16,4,Naira Abreu / Roxana Feji
2025,Maio,16,5,Marta Santos / Rita Anjos
2025,Maio,16,6,Fátima Miguel / Cristina Mesquita
2025,Maio,16,7,Rossana Barros / Mariana Henriques
2025,Maio,16,8,Ana Matos / Patrícia Gouveia
2025,Maio,16,9,Catarina Faúlha / Filipa Dias
2025,Maio,16,10,Cristina Portugal / Alexandra Neto
2025,Maio,16,11,Joana Iglesias / Djalila Vasconcelos
2025,Maio,16,12,Ana Lemos / Marta Batista
2025,Maio,23,1,Catarina Batista / Maria Batista
2025,Maio,23,2,Raquel Larangeira / Ana Luísa Basílio
2025,Maio,23,3,Margarida Mateus / Teresa Martins
2025,Maio,23,4,Carolina Pica / Maria Martins
2025,Maio,23,5,Fátima Miguel / Cristina Mesquita
2025,Maio,23,6,Shirin Sadeghi / Sophie Lorber
2025,Maio,23,7,Mariana Henriques / Rossana Barros
2025,Maio,23,8,Alexandra Neto / Marta Santos
2025,Maio,30,1,Adelina Dobroslavska / Polina Dobroslavska
2025,Maio,30,2,Natália Soares / Cristina Corona
2025,Maio,30,3,Catarina Batista / Maria Batista
2025,Maio,30,4,Filipa Dias / Maria Champalimaud
2025,Maio,30,5,Raquel Larangeira / Ana Luísa Basílio
2025,Maio,30,6,Raquel Durão / Milene Fortunato
2025,Maio,30,7,Sara Carvalho / Madalena Marinho
2025,Maio,30,8,Sílvia Pica / Carolina Pica
2025,Maio,30,9,Sara Ferreira / Fátima Miguel
2025,Maio,30,10,Joana Borges / Inês Gouveia
2025,Maio,30,11,Roxana Feji / Rossana Barros
2025,Maio,30,12,Patrícia Gouveia / Maria Gouveia
2025,Junho,06,1,Nastasiia Kovalenko / Maryna Zalozna
2025,Junho,06,2,Sílvia Pica / Alexandra Neto
2025,Junho,06,3,Fátima Miguel / Catarina Azevedo
2025,Junho,06,4,Milene Fortunato / Raquel Durão
2025,Junho,06,5,Inês Pexim / Margarida Marques 
2025,Junho,06,6,Rossana Barros / Ana Matos
2025,Junho,06,7,Raquel Larangeira / Roxana Feji
2025,Junho,06,8,Maria Gouveia / Inês Gouveia
2025,Junho,06,9,Naira Abreu / Tanya Timblo 
2025,Junho,06,10,Débora Saturnino / Mariana Henriques
2025,Junho,06,11,Carolina Fernandes / Maria Araújo
2025,Junho,06,12,Patrícia Gouveia / Maria Faria
2025,Junho,13,1,Shirin Sadeghi / Sophie Lorber
2025,Junho,13,2,Raquel Larangeira / Sara Ferreira
2025,Junho,13,3,Diana Vicente / Bárbara Vaz
2025,Junho,13,4,Roxana Feji / Filipa Larangeira
2025,Junho,13,5,Nastasiia Kovalenko / Mariia Krutko
2025,Junho,13,6,Sílvia Pica / Luísa Lopes
2025,Junho,13,7,Inês Gouveia / Maria Gouveia
2025,Junho,13,8,Mariana Henriques / Débora Saturnino
2025,Junho,20,1,Maria Martins / Catarina Barão
2025,Junho,20,2,Andreia Ribeiro / Margarida Mateus
2025,Junho,20,3,Renata Cardoso / Beatriz Santos
2025,Junho,20,4,Filipa Dias / Carolina Pica
2025,Junho,20,5,Raquel Larangeira / Ana Luísa Basílio
2025,Junho,20,6,Nastasiia Kovalenko / Mariia Krutko
2025,Junho,20,7,Mariana Henriques / Sophie Lorber
2025,Junho,20,8,Maria João Faria / Giovanna Araújo
2025,Junho,20,9,Maria Guerreiro / Inês Silva
2025,Junho,20,10,Alexandra Neto / Luísa Lopes
2025,Junho,20,11,Teresa Catroga / Mariana Soares
2025,Junho,20,12,Maria Gouveia / Patrícia Gouveia
2025,Junho,27,1,Teresa Martins / Margarida Mateus
2025,Junho,27,2,Sara Ferreira / Raquel Larangeira
2025,Junho,27,3,Sophie Lorber / Shirin Sadeghi
2025,Junho,27,4,Natália Maksymenko / Tatevik Asinian
2025,Junho,27,5,Nastasiia Kovalenko / Mariia Krutko
2025,Junho,27,6,Ana Portugal / Joana Gueifão
2025,Junho,27,7,Alexandra Neto / Sílvia Pica
2025,Junho,27,8,Mariana Henriques / Rossana Barros
2025,Junho,27,9,Alexandra Coelho / Djalila Vasconcelos
2025,Junho,27,10,Roxana Feji / Tanya Timblo
2025,Junho,27,11,Sofia Fernandes / Filipa Marques 
2025,Junho,27,12,Mariana Soares / Joana Borges
2025,Julho,04,1,Alexandra Neto / Ana Portugal
2025,Julho,04,2,Sophie Lorber / Maria Martins
2025,Julho,04,3,Cristina Portugal / Luísa Lopes
2025,Julho,04,4,Maria Batista / Catarina Batista
2025,Julho,04,5,Sofia Fernandes / Filipa Marques
2025,Julho,04,6,Maria Araújo / Débora Saturnino
2025,Julho,04,7,Rossana Barros / Tanya Timblo
2025,Julho,04,8,Inês Gouveia / Patrícia Gouveia
2025,Julho,11,1,Cristina Portugal / Luísa Lopes 
2025,Julho,11,2,Alexandra Neto / Sílvia Pica
2025,Julho,11,3,Marta Batista / Joana Grileiro
2025,Julho,11,4,Mariana Soares / Inês Falcato
2025,Julho,11,5,Nastasiia Kovalenko / Mariia Krutko
2025,Julho,11,6,Inês Gouveia / Ana Timóteo
2025,Julho,11,7,Raquel Larangeira / Roxana Feji
2025,Julho,11,8,Débora Saturnino / Maria Araújo
2025,Julho,18,1,Adelina Dobroslavska / Patrícia Carrera
2025,Julho,18,2,Shirin Sadeghi / Sophie Lorber
2025,Julho,18,3,Natália Maksymenko / Tatevik Asinian
2025,Julho,18,4,Mariana Henriques / Filipa Dias
2025,Julho,18,5,Raquel Larangeira / Sílvia Vicente
2025,Julho,18,6,Diana Vicente / Bárbara Vaz
2025,Julho,18,7,Madalena Luís / Rita Barreira
2025,Julho,18,8,Ana Matos / Carolina Pereira
2025,Julho,25,1,Ana Portugal / Joana Gueifão
2025,Julho,25,2,Margarida Mateus / Teresa Martins
2025,Julho,25,3,Maria Martins / Maria João Faria
2025,Julho,25,4,Raquel Larangeira / Inês Gouveia
2025,Julho,25,5,Shirin Sadeghi / Sophie Lorber
2025,Julho,25,6,Diana Vicente / Bárbara Vaz
2025,Julho,25,7,Luísa Lopes / Cristina Portugal
2025,Julho,25,8,Roxana Feji / Sara Ferreira
2025,Julho,25,9,Raquel Durão / Milene Fortunato
2025,Julho,25,10,Joana Borges / Bárbara Dias
2025,Julho,25,11,Giovanna Araújo / Larissa
2025,Julho,25,12,Maria Gouveia / Patrícia Gouveia
2025,Agosto,01,1,Raquel Larangeira / Ana Luísa Basílio
2025,Agosto,01,2,Diana Vicente / Bárbara Vaz
2025,Agosto,01,3,Natália Maksymenko / Tatevik Asinian
2025,Agosto,01,4,Viktoria Podriezova / Valéria
2025,Agosto,01,5,Alexandra Neto / Luísa Lopes
2025,Agosto,01,6,Nastasiia Kovalenko / Mariia Krutko
2025,Agosto,01,7,Cristina Dias / Djalila Vasconcelos
2025,Agosto,01,8,Sofia Fernandes / Filipa Marques
2025,Agosto,08,1,Ana Portugal / Cristina Portugal
2025,Agosto,08,2,Alexandra Neto / Sílvia Pica
2025,Agosto,08,3,Raquel Larangeira / Marta Santos
2025,Agosto,08,4,Mariana Henriques / Rossana Barros
2025,Agosto,08,5,Djalila Vasconcelos / Luísa Lopes
2025,Agosto,08,6,Cristina Dias / Roxana Feji
2025,Setembro,05,1,Raquel Larangeira / Rossana Barros
2025,Setembro,05,2,Mariana Henriques / Rita Vizinho
2025,Setembro,05,3,Débora Saturnino / Inês Gouveia
2025,Setembro,05,4,Giovanna Araújo / Sofia Pinto
2025,Setembro,12,1,Diana Vicente / Bárbara Vaz
2025,Setembro,12,2,Raquel Larangeira / Ana Luísa Basílio
2025,Setembro,12,3,Catarina Faúlha / Carla Botelho
2025,Setembro,12,4,Sara Carvalho / Rita Vizinho
2025,Setembro,12,5,Cristina Dias / Djalila Vasconcelos
2025,Setembro,12,6,Rossana Barros / Giovanna Araújo
2025,Setembro,12,7,Maria Araújo / Débora Saturnino
2025,Setembro,12,8,Isabel Vilaça / Rosário Silva
2025,Setembro,19,1,Cristina Portugal / Luísa Lopes
2025,Setembro,19,2,Mariana Henriques / Rossana Barros
2025,Setembro,19,3,Raquel Larangeira / Sara Ferreira
2025,Setembro,19,4,Catarina Dias / Roxana Feji
2025,Setembro,19,5,Mariana Soares / Inês Falcato
2025,Setembro,19,6,Cristina Dias / Djalila Vasconcelos
2025,Setembro,26,1,Ana Portugal / Inês Lourenço
2025,Setembro,26,2,Mariana Rocha / Vanessa Fernandes
2025,Setembro,26,3,Cristina Portugal / Luísa Lopes
2025,Setembro,26,4,Rossana Barros / Mariana Henriques
2025,Setembro,26,5,Teresa Martins / Margarida Mateus
2025,Setembro,26,6,Sónia Santos / Joana Fernandes
2025,Setembro,26,7,Débora Saturnino / Carolina Fernandes
2025,Setembro,26,8,Ana Silvério / Naíde Domingos
2025,Outubro,03,1,Paula Cunha / Joana Oliveira
2025,Outubro,03,2,Cristina Portugal / Luísa Lopes
2025,Outubro,03,3,Filipa Dias / Alexandra Neto
2025,Outubro,03,4,Nastasiia Kovalenko / Mariia Krutko
2025,Outubro,03,5,Catarina Faúlha / Carla Botelho
2025,Outubro,03,6,Sara Ferreira / Cristina Dias
2025,Outubro,03,7,Ana Gonçalves / Mariana Seabra
2025,Outubro,03,8,Rossana Barros / Roxana Feji
2025,Outubro,10,1,Alexandra Neto / Ana Portugal
2025,Outubro,10,2,Natália Soares / Maira Salieva
2025,Outubro,10,3,Nastasiia Kovalenko / Mariia Krutko
2025,Outubro,10,4,Mariana Henriques / Filipa Dias
2025,Outubro,10,5,Luísa Lopes / Cristina Portugal
2025,Outubro,10,6,Inês Silva / Maria Guerreiro
2025,Outubro,10,7,Rossana Barros / Bárbara Dias
2025,Outubro,10,8,Luísa Almeida / Joana Costa
2025,Outubro,17,1,Tatevik Asinian / Natália Maksymenko
2025,Outubro,17,2,Nastasiia Kovalenko / Mariia Krutko
2025,Outubro,17,3,Inês Gouveia / Raquel Larangeira
2025,Outubro,17,4,Alexandra Neto / Luísa Lopes
2025,Outubro,17,5,Marta Batista / Flávia Bravo
2025,Outubro,17,6,Catarina Faúlha / Carla Botelho
2025,Outubro,17,7,Francisca Guedes / Catarina Basto
2025,Outubro,17,8,Mariana Henriques / Margarida Perneta
2025,Outubro,17,9,Isabel Vilaça / Rosário Silva
2025,Outubro,17,10,Roxana Feji / Ana Valdeira 
2025,Outubro,17,11,Joana Carvalho / Ana Silva
2025,Outubro,17,12,Cristina Dias / Djalila Vasconcelos
2025,Outubro,24,1,Catarina Barão / Francisca Viegas
2025,Outubro,24,2,Diana Vicente / Bárbara Vaz
2025,Outubro,24,3,Filipa Dias / Carolina Pica
2025,Outubro,24,4,Rita Vizinho / Sara Carvalho
2025,Outubro,24,5,Nastasiia Kovalenko / Mariia Krutko
2025,Outubro,24,6,Rossana Barros / Alina Cherezova
2025,Outubro,24,7,Francisca Guedes / Catarina Basto
2025,Outubro,24,8,Joana Parreira / Joana Luís
2025,Outubro,24,9,Mariana Henriques / Margarida Perneta
2025,Outubro,24,10,Sara Nucifera / Sílvia Ripamonti
2025,Outubro,31,1,Filipa Dias / Filipa Leite
2025,Outubro,31,2,Francisca Viegas / Viktoria Podriezova
2025,Outubro,31,3,Maria Caio / Sara Alcobia
2025,Outubro,31,4,Mariana Henriques / Francisca Guedes
2025,Outubro,31,5,Marta Batista / Joana Grileiro
2025,Outubro,31,6,Inês Gouveia / Rossana Barros
2025,Outubro,31,7,Joana Carvalho / Catarina Basto
2025,Outubro,31,8,Coach 1 / Coach 2
2025,Outubro,31,9,Alina Cherezova / Margarida Perneta
2025,Outubro,31,10,Carla Cardoso / Leonor Guerreiro
2025,Outubro,31,11,Maria Araújo / Carolina Fernandes
2025,Outubro,31,12,Débora Saturnino / Filipa Venâncio
2025,Novembro,07,1,Natália Soares / Rafaela Fidalgo
2025,Novembro,07,2,Cristina Portugal / Luísa Lopes
2025,Novembro,07,3,Sílvia Pica / Alexandra Neto
2025,Novembro,07,4,Sílvia Alves / Mariana Passarinho
2025,Novembro,07,5,Rossana Barros / Mariana Henriques
2025,Novembro,07,6,Inês Gouveia / Patrícia Gouveia
2025,Novembro,07,7,Sofia Pinto / Giovanna Araújo
2025,Novembro,07,8,Maria Almeida / Filipa Venâncio
2025,Novembro,21,1,Luísa Lopes / Cristina Portugal
2025,Novembro,21,2,Débora Saturnino / Filipa Dias
2025,Novembro,21,3,Ana Portugal / Alexandra Neto
2025,Novembro,21,4,Raquel Larangeira / Isabel Brasil
2025,Novembro,21,5,Rita Vizinho / Sara Carvalho
2025,Novembro,21,6,Sílvia Alves / Rossana Barros
2025,Novembro,21,7,Mariana Henriques / Francisca Guedes
2025,Novembro,21,8,Djalila Vasconcelos / Sara Ferreira
2025,Novembro,21,9,Carmo Girão / Beatriz Chumbinho
2025,Novembro,21,10,Joana Borges / Bárbara Dias
2025,Novembro,28,1,Ana Portugal / Inês Portugal
2025,Novembro,28,2,Luísa Lopes / Cristina Portugal
2025,Novembro,28,3,Alexandra Neto / Filipa Dias
2025,Novembro,28,4,Joana Duarte / Ana Valdeira
2025,Novembro,28,5,Mariana Henriques / Francisca Guedes
2025,Novembro,28,6,Inês Gouveia / Cristina Dias
2025,Novembro,28,7,Sofia Fernandes / Filipa Marques
2025,Novembro,28,8,Alexandra Coelho / Beatriz Coelho
2025,Novembro,28,9,Débora Saturnino / Maria Araújo
2025,Novembro,28,10,Mariana Passarinho / Alina Cherezova
2025,Novembro,28,11,Giovanna Araújo / Sofia Pinto
2025,Novembro,28,12,Maria João Faria / Inês Nogueira
